user_id,filter_pattern,usage_count,different_fields
IC104409,single_word,1,1
IC104839,single_word,1,1
IC107995,single_word,1,1
IC111024,single_word,2,1
IC120249,2_words,3,1
IC120249,>,3,1
IC124906,2_words,2,1
IC124906,single_word,2,1
IC132270,single_word,1,1
IC132270,2_words,1,1
IC175991,2_words,1,1
IC182996,single_word,1,1
IC192006,single_word,3,1
IC193305,single_word,3,1
IC199530,3_words,4,1
IC200701,single_word,1,1
IC201692,single_word,1,1
IC204035,single_word,1,1
IC206470,single_word,1,1
IC211299,single_word,2,1
IC216627,single_word,2,1
IC226661,3_words,3,1
IC230839,single_word,1,1
IC232740,single_word,2,1
IC234175,single_word,1,1
IC239430,single_word,4,1
IC239430,2_words,2,1
IC239430,3_words,2,1
IC239829,single_word,1,1
IC247163,2_words,1,1
IC247163,single_word,1,1
IC251197,single_word,1,1
IC251430,2_words,1,1
IC265033,2_words,2,1
IC265033,single_word,2,1
IC269017,single_word,3,2
IC269017,2_words,1,1
IC272363,single_word,1,1
IC273698,single_word,10,1
IC276267,single_word,1,1
IC283426,single_word,1,1
IC287589,single_word,2,1
IC287589,4_words,1,1
IC287686,single_word,2,1
IC287686,2_words,1,1
IC295213,single_word,1,1
IC297711,single_word,1,1
RO364368,single_word,2,1
RO522721,single_word,1,1
RO523801,single_word,1,1
RO523829,single_word,1,1
RO525862,single_word,1,1
RO688257,single_word,2,1
RO746263,single_word,1,1
RP105483,single_word,1,1
RP238184,single_word,1,1
RP482811,single_word,4,1
RP671673,single_word,1,1
RP940521,single_word,1,1
RQ296022,single_word,1,1
RQ318909,single_word,3,1
RQ318909,2_words,1,1
RQ345584,4_words,1,1
RQ865554,single_word,5,1
RQ865554,2_words,2,1
RS227497,single_word,1,1
RS506747,single_word,1,1
RS634748,single_word,1,1
RS990233,single_word,1,1
RS991246,single_word,1,1
RT121111,single_word,1,1
RT513588,single_word,1,1
RT527432,single_word,1,1
RU125303,single_word,1,1
RU467858,2_words,1,1
RU467858,single_word,1,1
RU698332,2_words,1,1
RU698333,2_words,1,1
RV344229,single_word,3,1
RV344232,single_word,3,1
RV344232,3_words,1,1
RV356225,single_word,1,1
RV491002,single_word,4,1
RV594664,single_word,9,2
RV594664,4_words,6,1
RV594664,3_words,1,1
RV617203,single_word,1,1
RV647133,4_words,1,1
RV669791,2_words,1,1
RV922445,single_word,1,1
RW172867,single_word,2,1
RW535605,single_word,1,1
RW792102,single_word,2,1
RW847315,single_word,1,1
RW858718,single_word,1,1
RW912583,single_word,2,1
RW957183,single_word,1,1
RW957183,2_words,1,1
RX236906,single_word,2,1
RX298454,single_word,1,1
RX349699,single_word,1,1
RX421802,single_word,1,1
RX430049,single_word,2,1
RX460050,single_word,17,4
RX460050,2_words,6,1
RX460050,4_words,1,1
RX490599,single_word,1,1
RX506641,single_word,1,1
RX508653,single_word,1,1
RX521048,single_word,1,1
RX702297,single_word,1,1
RX788894,single_word,5,1
RX810960,single_word,1,1
RX865723,single_word,1,1
RY1011120,single_word,1,1
RY114733,3_words,1,1
RY139830,single_word,1,1
RY154098,3_words,1,1
RY155897,single_word,1,1
RY342778,single_word,1,1
RY376084,single_word,1,1
RY376319,single_word,2,1
RY527131,single_word,1,1
RY545809,single_word,1,1
RY577352,2_words,1,1
RY644168,single_word,1,1
RY647146,single_word,2,1
RY647161,single_word,2,1
RY650124,single_word,1,1
RY665458,2_words,1,1
RY671797,single_word,1,1
RY687189,2_words,1,1
RY729497,2_words,1,1
RY730057,single_word,2,1
RY741701,single_word,1,1
RY776423,single_word,1,1
RY826639,single_word,1,1
RY858778,single_word,1,1
RY858835,single_word,2,1
RY862695,single_word,1,1
RY895064,single_word,1,1
RY899327,<,1,1
RY899327,=,1,1
RY903861,single_word,1,1
RY905669,single_word,1,1
RY952361,single_word,1,1
RY952476,single_word,2,1
RY962697,single_word,1,1
RY984791,single_word,3,1
RY984792,single_word,1,1
RY993164,single_word,1,1
RY996441,single_word,2,1
RZ141004,single_word,1,1
RZ179504,single_word,3,1
RZ211997,2_words,2,1
RZ211997,4_words,1,1
RZ211997,3_words,1,1
RZ215907,single_word,2,1
RZ216573,single_word,1,1
RZ224715,single_word,3,1
RZ242259,single_word,4,1
RZ242259,4_words,1,1
RZ242259,3_words,1,1
RZ249051,single_word,1,1
RZ251009,single_word,1,1
RZ277924,single_word,1,1
RZ286085,single_word,1,1
RZ299101,2_words,1,1
RZ315423,single_word,1,1
RZ325255,single_word,1,1
RZ331874,single_word,14,2
RZ331874,2_words,3,1
RZ331874,3_words,1,1
RZ347888,single_word,2,1
RZ347888,2_words,1,1
RZ349495,2_words,1,1
RZ349495,single_word,1,1
RZ352644,single_word,1,1
UA000545,2_words,2,1
UA000545,single_word,1,1
UA000666,single_word,1,1
UA005017,single_word,1,1
UA005675,single_word,1,1
UA007008,2_words,1,1
UA007304,3_words,4,1
UA007358,single_word,1,1
UA008181,single_word,1,1
UA010147,single_word,1,1
UA011777,2_words,1,1
UA011900,single_word,8,1
UA012040,single_word,1,1
UA012185,single_word,2,1
