user_id,total_folder_selections,different_folders_used,days_active_selecting,most_used_folder
RX322855,29,4,2,Arbeidsvoorwaarden
IC187288,28,3,1,Arbeidsvoorwaarden
RZ283710,28,10,1,Salaris
IC160123,28,3,2,Medewerker dossier
RX764383,28,2,2,Medewerker dossier
IC258788,28,7,1,Arbeidsvoorwaarden
RY984793,28,3,1,Verlof
RY407304,27,2,2,Functioneren/Ontwikkeling
RP213038,27,4,2,Medewerker dossier
IC192494,27,2,1,Dienstverbanden
RQ384302,27,3,1,Arbeidsvoorwaarden
UA001863,27,3,2,Medewerker dossier
RY997661,27,12,1,Arbeidsovereenkomst
RX826755,26,7,2,Verlof
RQ946546,26,12,1,In dienst
RV589390,26,10,1,Arbeidsvoorwaarden
RW774792,26,13,1,01. Dienstverband
RY962693,26,25,1,01 Persoonlijk
RX521048,26,6,2,Arbeidsvoorwaarden
RY200599,26,3,2,Medewerker dossier
RQ147863,26,6,2,Medewerker dossier
IC237398,26,9,1,Functioneren & loopbaan
RO603627,25,1,2,Medewerker dossier
IC290930,25,9,2,Persoonlijk
RZ246448,25,7,1,Persoonlijk
RY369986,25,4,2,Medewerker dossier
IC247163,25,6,2,Diversen
RY858751,25,7,1,Meerkeuzesysteem arbeidsvoorwaarden
RZ326188,25,15,1,Oud dossier Heerlen (voor 2017)
IC248812,25,6,1,Arbeidsvoorwaarden
RQ487578,24,8,1,Persoonlijk
RP851293,24,5,1,Flexibele arbeidsvoorwaarden
RY961753,24,4,1,Persoonlijk
RQ393760,24,9,1,Persoonsgegevens
RO175811,24,6,2,Arbeidsovereenkomst en -voorwaarden mdw in loondie
RZ249938,24,5,1,Arbeidsvoorwaarden
RX780932,24,6,2,Arbeidsvoorwaarden
RV421002,24,3,1,Verlof
RY186137,24,8,1,8. Meerkeuzesysteem/WKR
RY1003363,24,12,1,Persoonlijk
IC140082,23,4,1,Aanstelling en Benoeming
RX295117,23,8,2,Arbeidsvoorwaarden
RZ215880,23,7,1,Arbeidsvoorwaarden
RO519804,23,7,2,Arbeidsvoorwaarden
IC199787,23,3,1,Inzetbaarheid
RY1005641,23,23,1,Arbo
RZ264168,23,3,2,Medewerker dossier
IC251438,23,5,2,Medewerker dossier
RS295440,23,3,1,01 Indiensttreding
RY653151,23,7,2,Contracten
RY853226,22,5,1,Kwaliteitsregistraties
UA009933,22,11,1,Loopbaan
RX932436,22,4,2,Loopbaan / personeelsontwikkeling
RX329682,22,7,1,"ABP, UWV, PWRI"
IC134671,22,7,1,Persoonlijk
RO480700,22,7,2,Dienstverband
RY584648,22,8,2,Contract & arbeidsvoorwaarden
IC238734,22,11,1,Medewerker dossier
IC255897,22,9,2,Medewerker dossier
RO623535,22,3,2,Correspondentie
IC251437,22,4,2,Medewerker dossier
RZ306699,22,12,1,Medewerker dossier
RY1002948,21,9,1,Persoonlijk
RX764378,21,7,2,Arbeidsvoorwaarden
RO741556,21,8,2,Arbeidsvoorwaarden
RV472074,21,4,2,Medewerker dossier
RZ288168,21,11,1,2. Arbeidsvoorwaarden
IC208299,21,3,2,Verlof
RY493478,21,12,1,Functioneren en ontwikkelen
IC253791,21,1,1,Verlof
IC209151,21,7,1,Einde dienstverband
RZ207351,21,8,1,Verzuim
RV622478,21,4,1,Medewerker dossier
RY871794,21,15,1,01.1 Formele documenten
RY740039,21,9,2,Salaris
RV785372,21,12,1,Beoordeling/functioneren
RZ217959,21,5,1,Aanstelling/overeenkomst
IC178405,20,6,1,Aanstelling
RX369439,20,1,2,Medewerker dossier
