user_id,total_filters,different_fields_used,days_active_filtering,most_used_field
RY470653,10,3,2,datumUitDienst
RT986219,10,2,1,datumUitDienst
RP783440,10,2,2,medewerkerNaam
RY586468,10,2,2,medewerkerNaam
RO519804,10,2,2,medewerkerNaam
RV876954,10,2,1,medewerkerNaam
RO173674,10,2,2,medewerkerNaam
RP227683,10,2,2,datumUitDienst
RY376319,10,2,2,datumUitDienst
RW816378,10,2,2,datumUitDienst
RY580038,10,2,2,datumUitDienst
RO394897,10,2,1,medewerkerNaam
RU675998,10,2,2,datumUitDienst
RO857996,10,2,2,datumUitDienst
RZ291321,10,3,1,datumUitDienst
RY644541,10,2,2,datumUitDienst
RX421891,10,2,2,medewerkerNaam
RQ470019,10,2,2,medewerkerNaam
IC269097,10,2,2,datumUitDienst
RX824169,10,3,2,datumUitDienst
RY527026,10,3,1,datumUitDienst
RY965234,10,2,2,medewerkerNaam
RX229203,10,2,1,medewerkerNaam
RW774222,10,3,1,datumUitDienst
UA004763,10,2,2,datumUitDienst
RY1009398,10,2,2,medewerkerNaam
RX484937,10,2,1,datumUitDienst
RX565630,10,2,2,datumUitDienst
IC277740,10,2,2,datumUitDienst
UA011900,10,2,2,medewerkerNaam
IC290871,10,2,1,medewerkerCode
RX927968,10,2,2,medewerkerNaam
IC197458,10,2,2,datumUitDienst
IC224624,10,2,2,medewerkerNaam
RP555620,10,2,2,medewerkerNaam
IC258105,10,2,2,medewerkerNaam
IC217927,10,2,2,datumUitDienst
RX145344,10,2,2,datumUitDienst
RO944848,10,2,2,medewerkerNaam
RX871226,10,2,2,medewerkerCode
RX531873,10,2,2,datumUitDienst
IC160123,10,2,2,medewerkerNaam
RV580684,10,2,1,medewerkerNaam
IC289354,10,2,2,medewerkerCode
RU412484,10,2,2,medewerkerNaam
RX679747,10,2,2,medewerkerNaam
RY286263,10,2,2,medewerkerNaam
IC105265,10,2,1,medewerkerNaam
RZ180496,10,2,2,datumUitDienst
RP385698,10,2,1,medewerkerNaam
RY913449,10,2,1,datumUitDienst
IC238175,10,2,2,datumUitDienst
RQ891824,10,2,2,medewerkerNaam
RW625023,10,2,2,datumUitDienst
IC281668,10,2,2,medewerkerNaam
RV356225,10,2,2,medewerkerNaam
RX962390,10,3,2,datumUitDienst
RP289136,10,2,1,datumUitDienst
RW650218,10,2,1,datumUitDienst
RY990410,10,2,2,datumUitDienst
RY740039,10,2,2,datumUitDienst
IC217713,10,2,2,datumUitDienst
RO364368,10,2,2,medewerkerNaam
IC169098,10,2,1,datumUitDienst
RZ325255,10,2,2,datumUitDienst
RY1002156,10,2,1,datumUitDienst
IC209151,10,2,1,medewerkerCode
IC244189,10,2,2,medewerkerCode
RQ346307,10,2,2,medewerkerNaam
RU742787,10,2,2,medewerkerNaam
RW210621,10,2,2,medewerkerCode
RZ261720,10,3,1,medewerkerNaam
RY101524,10,2,1,datumUitDienst
IC177117,10,3,2,medewerkerNaam
