date,total_filters,users_using_filters,different_fields_filtered
2025-09-10,38,27,7
2025-09-11,59,42,7
2025-09-12,28,22,4
2025-09-13,1,1,1
2025-09-14,1,1,1
2025-09-15,49,39,8
2025-09-16,62,42,5
2025-09-17,53,34,6
2025-09-18,48,37,7
