metric,value
total_downloads,709.0
unique_users,170.0
avg_size_bytes,688032.4428772919
min_size_bytes,5360.0
max_size_bytes,40343653.0
median_size_bytes,203904.0
size_category_lt_10KB,2.0
size_category_10KB_-_100KB,226.0
size_category_100KB_-_1MB,414.0
size_category_1MB_-_10MB,59.0
size_category_gt_10MB,8.0
