date,browser,users_count
2025-09-14,Chrome 126.0.0,1
2025-09-15,Chrome 114.0.0,1
2025-09-16,Safari 17.14,1
2025-09-15,Safari 17.6,1
2025-09-17,Chrome 138.0.0,318
2025-09-11,Chrome Mobile WebView 139.0.7258,3
2025-09-11,Edge 122.0.0,1
2025-09-15,Edge 136.0.0,27
2025-09-12,Edge 138.0.0,98
2025-09-11,Chrome 132.0.0,2
2025-09-18,Edge Mobile 140.0.3485,1
2025-09-15,Safari 18.6,7
2025-09-12,Firefox 140.0,1
2025-09-10,Chrome 114.0.0,1
2025-09-10,Safari 26.0,1
2025-09-10,Edge 132.0.0,4
2025-09-16,Safari 18.1.1,1
2025-09-17,Firefox 140.0,2
2025-09-13,Chrome 139.0.0,9
2025-09-17,Chrome 139.0.0,163
2025-09-13,Chrome Mobile WebView 139.0.7258,1
2025-09-12,Edge 136.0.0,9
2025-09-16,Chrome 120.0.0,1
2025-09-16,Chrome 137.0.0,12
2025-09-12,Chrome Mobile WebView 139.0.7258,2
2025-09-11,Chrome 122.0.0,1
2025-09-18,Edge 138.0.0,125
2025-09-18,Chrome 133.0.0,20
2025-09-18,Edge 139.0.0,272
2025-09-16,Chrome 109.0.0,1
2025-09-10,Chrome 140.0.0,195
2025-09-11,Chrome 139.0.0,290
2025-09-16,Chrome 123.0.0,1
2025-09-18,Chrome 106.0.0,1
2025-09-15,Safari 18.5,1
2025-09-10,Chrome 122.0.0,1
2025-09-16,Chrome Mobile WebView 140.0.7339,3
2025-09-16,Edge Mobile 139.0.0,1
2025-09-15,Opera 120.0.0,1
2025-09-11,Chrome 121.0.0,1
2025-09-14,Chrome 139.0.0,5
2025-09-12,Firefox 128.0,6
2025-09-15,Edge 139.0.0,347
2025-09-17,Chrome 132.0.0,2
2025-09-18,Edge 137.0.0,18
2025-09-10,Edge 134.0.0,15
2025-09-12,Edge 137.0.0,16
2025-09-16,Firefox 128.0,5
2025-09-14,Chrome 132.0.0,1
2025-09-15,Chrome 139.0.0,271
2025-09-10,Chrome 135.0.0,1
