user,total_base_activations,employees_activations,documents_activations,import_activations,reports_activations,management_activations,unique_employee_panels_opened,max_concurrent_employee_panels,employee_panel_switches,has_switched_employee_panels
RP820300,5,5,0,0,0,0,3,3,0,False
RP821932,22,22,0,0,0,0,18,1,0,False
RP822253,2,2,0,0,0,0,1,1,0,False
RP823115,4,4,0,0,0,0,4,2,0,False
RP842370,1,1,0,0,0,0,1,1,0,False
RP851293,5,5,0,0,0,0,2,2,0,False
RP851317,6,6,0,0,0,0,4,2,0,False
RP875865,1,1,0,0,0,0,1,1,0,False
RP882015,39,39,0,0,0,0,25,5,0,False
RP892619,8,8,0,0,0,0,3,3,0,False
RP902216,2,2,0,0,0,0,1,1,0,False
RP902279,2,2,0,0,0,0,2,2,0,False
RP930175,2,2,0,0,0,0,2,2,0,False
RP950338,3,3,0,0,0,0,1,1,0,False
RP961936,1,1,0,0,0,0,0,0,0,False
RQ115806,2,2,0,0,0,0,1,1,0,False
RQ116849,2,2,0,0,0,0,1,1,0,False
RQ116897,2,2,0,0,0,0,2,2,0,False
RQ118315,3,3,0,0,0,0,1,1,0,False
RQ118463,29,29,0,0,0,0,13,2,0,False
RQ118629,12,12,0,0,0,0,6,3,0,False
RQ123675,3,3,0,0,0,0,0,0,0,False
RQ134127,2,2,0,0,0,0,1,1,0,False
RQ134702,2,2,0,0,0,0,1,1,0,False
RQ134813,2,2,0,0,0,0,1,1,0,False
RQ134874,6,6,0,0,0,0,3,3,0,False
RQ143992,5,5,0,0,0,0,5,5,0,False
RQ158455,3,3,0,0,0,0,1,1,0,False
RQ251811,1,1,0,0,0,0,0,0,0,False
RQ257570,9,9,0,0,0,0,7,5,0,False
RQ267001,6,6,0,0,0,0,2,1,0,False
RQ296022,35,33,2,0,0,0,24,5,0,False
RQ298755,1,1,0,0,0,0,1,1,0,False
RQ299005,13,13,0,0,0,0,5,4,0,False
RQ318909,44,38,6,0,0,0,23,3,1,True
RQ345584,62,60,2,0,0,0,41,3,0,False
RQ346291,4,4,0,0,0,0,4,4,0,False
RQ346970,34,34,0,0,0,0,7,5,0,False
RQ360674,121,121,0,0,0,0,93,5,0,False
RQ373861,2,2,0,0,0,0,2,2,0,False
RQ374066,1,1,0,0,0,0,1,1,0,False
RQ384302,334,334,0,0,0,0,179,5,4,True
RQ405629,4,4,0,0,0,0,2,1,0,False
RQ406113,235,235,0,0,0,0,82,3,0,False
RQ420491,11,11,0,0,0,0,6,2,0,False
RQ420692,27,27,0,0,0,0,15,5,3,True
RQ441674,1,1,0,0,0,0,0,0,0,False
RQ441914,9,9,0,0,0,0,1,1,0,False
RQ456161,3,3,0,0,0,0,2,2,0,False
RQ456941,2,2,0,0,0,0,1,1,0,False
RQ457420,7,7,0,0,0,0,5,4,0,False
