2025-09-10 07:31:09.4933 11.1.2.0 DEBUG 55 [User: IC132270] [UserAgent: Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36] Upload: New document uploaded (279926 Bytes) 
2025-09-10 07:31:21.1516 11.1.2.0 DEBUG 68 [User: IC132270] [UserAgent: Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36] Results page: Result grid sort changed. new order: {http://www.raet.nl/dossier/hr}ingangsDatum DESC 
2025-09-10 07:34:09.7342 11.1.2.0 DEBUG 8 [User: RY625930] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0] Switch Panel Activated: employees 
2025-09-10 07:34:22.9816 11.1.2.0 DEBUG 72 [User: RY625930] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0] Global employee search: heinhuis 
2025-09-10 07:34:22.9816 11.1.2.0 DEBUG 72 [User: RY625930] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0] Switch Panel Activated: employees 
2025-09-10 07:34:23.0110 11.1.2.0 DEBUG 68 [User: IC194859] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36] Switch Panel Activated: employees 
2025-09-10 07:34:25.8762 11.1.2.0 DEBUG 66 [User: RY625930] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0] Switch Panel Added: 6472567BO4GEM448470 
2025-09-10 07:34:25.8762 11.1.2.0 DEBUG 66 [User: RY625930] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0] Switch Panel Activated: 6472567BO4GEM448470 
2025-09-10 07:34:25.9313 11.1.2.0 DEBUG 66 [User: RY625930] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0] Results page: Results refreshed (automatic). Result count:7. 
2025-09-10 07:34:50.7888 11.1.2.0 DEBUG 68 [User: RY625930] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0] View Page: Viewing document. Mimetype:application/vnd.openxmlformats-officedocument.wordprocessingml.document. Renderer:IntraOffice.Web.Portal.OfficeEndlessScrollRenderer. 
2025-09-10 07:35:34.7467 11.1.2.0 DEBUG 66 [User: IC247614] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36] Switch Panel Activated: employees 
2025-09-10 07:35:37.5504 11.1.2.0 DEBUG 68 [User: IC247614] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36] Employee filter executed with criteria: Entries: {http://www.raet.nl/dossier/hr}medewerkerCode='119982', {http://www.raet.nl/dossier/hr}datumUitDienst='>=#2025-09-10# =' 
2025-09-10 07:35:37.6965 11.1.2.0 DEBUG 66 [User: RT936312] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0] Switch Panel Activated: employees 
2025-09-10 07:35:38.4939 11.1.2.0 DEBUG 67 [User: IC247614] [UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36] Switch Panel Added: 4800000BO4GEM119982 
